STORM-YVik1-Vindhast-25km delayed_2;STORM-YVik1-Vindhast-25km delayed_1;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km delayed_2;STORM-YVik1-Vindretn-25km delayed_1;STORM-YVik1-Vindretn-25km;/arome_windvel_6491_1087 delayed_2;/arome_windvel_6491_1087 delayed_1;/arome_windvel_6491_1087;/arome_airtemp_6491_1087 delayed_2;/arome_airtemp_6491_1087 delayed_1;/arome_airtemp_6491_1087;/arome_windvel_6481_1056 delayed_2;/arome_windvel_6481_1056 delayed_1;/arome_windvel_6481_1056;DNMI_75410...........T0015A3-0120;/arome_windvel_6482_1114 delayed_2;/arome_windvel_6482_1114 delayed_1;/arome_windvel_6482_1114;DNMI_75220...........T0015A3-0120;/arome_windvel_6520_1098 delayed_2;/arome_windvel_6520_1098 delayed_1;/arome_windvel_6520_1098;DNMI_75550...........T0015A3-0120;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
;;3.7;;;260;;;1.83129707;;;9.330219999999999;;;5.769739466;2.65;;;2.181113349;1.9;;;5.648052085;2.65;17;;1.806583328
;3.7;3.6;;260.0;260;;1.83129707;1.7232878459999998;;9.330219999999999;9.7836;;5.769739466;6.406628454;2.83;;2.181113349;2.692327596;0.0;;5.648052085;5.52161692;2.83;17;;1.804099991
3.7;3.6;3.6;260.0;260.0;268;1.83129707;1.7232878459999998;2.037199229;9.330219999999999;9.7836;9.93423;5.769739466;6.406628454;5.814259838;3.42;2.181113349;2.692327596;2.136464527;0.4;5.648052085;5.52161692;5.31414756;3.42;17;1.806583328;1.9929833069999998
3.6;3.6;3.7;260.0;268.0;276;1.7232878459999998;2.037199229;2.053740894;9.7836;9.93423;10.3068;6.406628454;5.814259838;6.276929792000001;2.89;2.692327596;2.136464527;2.652313425;1.5;5.52161692;5.31414756;6.319415435;2.89;17;1.804099991;2.2444832690000003
3.6;3.7;3.7;268.0;276.0;284;2.037199229;2.053740894;2.718264599;9.93423;10.3068;10.6266;5.814259838;6.276929792000001;6.944139012000001;3.94;2.136464527;2.652313425;2.318014426;2.3;5.31414756;6.319415435;5.672279271;3.94;17;1.9929833069999998;6.783783173
3.7;3.7;4.0;276.0;284.0;296;2.053740894;2.718264599;3.352088022;10.3068;10.6266;10.5795;6.276929792000001;6.944139012000001;6.763623272999999;3.55;2.652313425;2.318014426;1.892858345;1.3;6.319415435;5.672279271;6.048835762;3.55;17;2.2444832690000003;6.779332916
3.7;4.0;4.4;284.0;296.0;308;2.718264599;3.352088022;2.46790134;10.6266;10.5795;10.3588;6.944139012000001;6.763623272999999;5.959726102;3.76;2.318014426;1.892858345;2.427135688;1.9;5.672279271;6.048835762;6.199077357;3.76;17;6.783783173;4.804399811000001
4.0;4.4;4.2;296.0;308.0;299;3.352088022;2.46790134;2.867004433;10.5795;10.3588;10.96157;6.763623272999999;5.959726102;6.154402533;4.79;1.892858345;2.427135688;2.11089467;0.9;6.048835762;6.199077357;6.084954128;4.79;17;6.779332916;3.968549866
4.4;4.2;4.6;308.0;299.0;292;2.46790134;2.867004433;3.4719214999999997;10.3588;10.96157;11.02505;5.959726102;6.154402533;6.287941387;4.99;2.427135688;2.11089467;3.424589802;1.9;6.199077357;6.084954128;6.75353109;4.99;16;4.804399811000001;5.615916412000001
4.2;4.6;5.0;299.0;292.0;285;2.867004433;3.4719214999999997;4.4008201730000005;10.96157;11.02505;11.3583;6.154402533;6.287941387;7.20894635;5.04;2.11089467;3.424589802;3.9251000210000004;4.0;6.084954128;6.75353109;7.411968335;5.04;16;3.968549866;5.090149811
