BESS-Bessakerfj.-G1-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G2-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G3-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G3.AVL;BESS-Bessakerfj.-G4-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G4.AVL;BESS-Bessakerfj.-G5-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G5.AVL;BESS-Bessakerfj.-G6-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G6.AVL;BESS-Bessakerfj.-G7-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G7.AVL;BESS-Bessakerfj.-G8-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G9-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G10T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G11T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G12T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G13T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G14T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G15T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G16T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G17T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G18T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G19T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G20T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G21T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G22T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G23T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G24T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G25T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-GS-T4015A3 -0104;DNMI_69100...........T0015A3-0120;/arome_windvel_6347_1092;DNMI_71550...........T0015A3-0120;/arome_windvel_6372_0961;DNMI_71850...........T0015A3-0120;/arome_windvel_6413_0933;DNMI_71990...........T0015A3-0120;/arome_windvel_6440_1047;DNMI_72580...........T0015A3-0120;/arome_windvel_6447_1156;STORM-Bess-Vindretn-25km;STORM-Bess-Vindhast-25km;/arome_windvel_6422_1040;/arome_airtemp_6422_1040;/arome_windvel_6421_1035;/arome_airtemp_6421_1035;BESS-Bessakerfj.-GS-T4015A3 -0104;Target
1.42956665;1;1.530416504;1;0.587016602;1;1.393733154;1;0.5935832520000001;1;1.102416504;1;1.1747331540000001;1;0.0;1;1.3530832519999998;1;1.268666504;1;0.0;1;0.0;1;0.0;1;0.500450012;1;1.190083252;1;1.118349854;1;0.441649963;1;0.808283325;1;0.858966675;1;0.875583252;1;0.725616577;1;1.4827666019999999;1;1.4183332519999998;1;1.396383301;1;1.51518335;1;22.76486499;7.7;4.868781158;9.2;5.602639856000001;11.1;8.199250568;7.625;8.372388309;4.0;4.454651641;322;8.7;5.189601723;8.6166;5.21602767;9.34414;22.76486499;24.09778198
1.428449951;1;1.675449951;1;0.59643335;1;1.440050049;1;0.600449951;1;1.3598332519999998;1;1.120099854;1;0.0;1;1.4130998540000002;1;1.313599854;1;0.0;1;0.0;1;0.0;1;0.493616638;1;1.190516602;1;1.18668335;1;0.525133301;1;0.888483276;1;1.070633301;1;0.846766602;1;0.8537999270000001;1;1.695733154;1;1.664383301;1;1.4878833009999999;1;1.590116699;1;24.44121552;9.2;5.485960165;8.3;5.634571317000001;11.0;8.041410791;8.133333333;7.693827201;4.3;4.32018432;322;8.8;5.052448098999999;8.730369999999999;5.232161198;9.574119999999999;24.44121552;29.85279889
1.601616699;1;1.681949951;1;0.59868335;1;1.8027832030000002;1;0.595733276;1;1.364849854;1;1.181333252;1;0.0;1;1.4462832030000001;1;1.291599854;1;0.0;1;0.0;1;0.0;1;0.42881665;1;1.283216553;1;1.0577331540000001;1;0.5655499270000001;1;0.59881665;1;0.649383301;1;0.946216675;1;0.555799927;1;1.497449951;1;1.50281665;1;1.7276166990000001;1;1.7195332030000001;1;24.09778198;7.6;3.8399956669999997;9.3;5.83163102;10.0;8.01672962;7.766666667000001;7.177702048;3.6;4.497287134;323;8.9;5.894857098999999;8.42202;5.845584998;9.137839999999999;24.09778198;29.48178229
1.761866699;1;1.763899902;1;0.593400024;1;1.757699951;1;0.597166626;1;1.574300049;1;1.651349854;1;0.0;1;1.911849854;1;1.6158498540000001;1;0.0;1;0.0;1;0.0;1;0.500950012;1;1.6462165530000001;1;1.4447331540000001;1;0.863833252;1;1.251116699;1;1.208616699;1;1.392099854;1;0.904016602;1;1.777699951;1;1.853466553;1;1.8558666990000001;1;1.9268000490000001;1;29.85279889;8.6;4.254049588;8.4;5.5102041239999995;9.2;8.950912106;7.5083333329999995;7.78539691;2.9;4.947569272;325;9.1;5.47057755;8.5619;5.615973562000001;9.37002;29.85279889;30.43499902
1.7675;1;1.9193833009999999;1;0.59825;1;1.764233154;1;0.596599976;1;1.677883301;1;1.525283203;1;0.0;1;1.687333252;1;1.499283203;1;0.0;1;0.0;1;0.0;1;0.49633331299999994;1;1.58818335;1;1.55718335;1;0.705150024;1;1.140199951;1;1.228266602;1;1.05018335;1;1.02881665;1;1.8297331540000001;1;1.9928666990000001;1;1.914716553;1;1.914399902;1;29.48178229;7.4;4.9489723969999995;8.9;6.965437568;9.9;8.713732952;7.783333333;6.9825268;3.0;4.259004614;327;9.4;5.622111532999999;8.482569999999999;5.433630027;8.943019999999999;29.48178229;27.68948187
1.78318335;1;2.02481665;1;0.593333252;1;1.9305;1;0.599549927;1;1.68243335;1;1.703383301;1;0.0;1;1.785849854;1;1.560133301;1;0.0;1;0.0;1;0.0;1;0.500133301;1;1.8678332519999998;1;1.746149902;1;0.731699951;1;1.235583252;1;1.285266602;1;1.177800049;1;0.8433665770000001;1;1.6457165530000002;1;1.63618335;1;1.9820832519999998;1;2.12;1;30.43499902;8.6;4.677132689;7.7;5.50446176;9.5;8.402818993;7.85;6.573539475;3.3;4.718061371;331;9.0;5.622111532999999;8.482569999999999;5.433630027;8.943019999999999;30.43499902;26.54973248
1.6975;1;1.9515166019999999;1;0.60231665;1;1.6554665530000001;1;0.597616577;1;1.5605500490000002;1;1.4274665530000001;1;0.0;1;1.638916504;1;1.4427165530000001;1;0.0;1;0.0;1;0.0;1;0.500299988;1;1.562833252;1;1.408449951;1;0.66506665;1;1.0263833009999999;1;1.179366699;1;1.06043335;1;0.701299927;1;1.804216553;1;1.724983154;1;1.678166504;1;1.803916504;1;27.68948187;10.4;4.868781158;7.4;5.602639856000001;8.5;8.199250568;7.708333333;8.372388309;2.6;4.454651641;326;8.7;5.05310334;8.21572;4.962307041;8.823139999999999;27.68948187;22.972599
1.7126333009999999;1;1.84906665;1;0.59518335;1;1.57793335;0;0.600516602;1;1.294149902;1;1.257166504;1;0.0;1;1.5886166990000001;1;1.4626333009999999;1;0.0;1;0.0;1;0.0;1;0.501183289;1;1.52593335;1;1.285216553;1;0.7184166259999999;1;0.838966675;1;0.883033325;1;1.163349854;1;0.70718335;1;1.874516602;1;1.6247666019999998;1;1.765449951;1;1.72381665;1;26.54973248;11.1;4.868781158;7.3;5.602639856000001;8.6;8.199250568;7.958333333;8.372388309;3.6;4.454651641;321;8.5;5.189601723;8.6166;5.21602767;9.34414;26.54973248;16.3150993
1.554616699;1;1.4292666019999998;1;0.5971333010000001;1;1.4046499019999998;0;0.598849976;1;1.260283203;1;1.16575;1;0.0;1;1.446699951;1;1.361533203;1;0.0;1;0.0;1;0.0;1;0.49934997600000003;1;1.35856665;1;1.1128833009999999;1;1.056;1;0.591983276;1;0.54793335;1;1.16818335;1;0.697833252;1;1.283833252;1;1.167466553;1;1.4548332519999998;1;1.214949951;1;22.972599;10.5;5.485960165;5.8;5.634571317000001;8.4;8.041410791;7.275;7.693827201;3.7;4.32018432;316;8.2;5.052448098999999;8.730369999999999;5.232161198;9.574119999999999;22.972599;15.94239899
1.050766602;1;0.94856665;1;0.580916626;1;0.968283325;0;0.5935;1;0.754599976;1;0.836583252;1;0.0;1;1.062083252;1;0.941150024;1;0.0;1;0.0;1;0.0;1;0.49625;1;1.059083252;1;0.655949951;1;0.610466675;1;0.35573333700000004;1;0.33936663799999994;1;0.769533325;1;0.386733337;1;0.986650024;1;0.8307332759999999;1;1.152783203;1;0.935366577;1;16.3150993;9.7;3.8399956669999997;7.1;5.83163102;7.0;8.01672962;7.416666667;7.177702048;6.1;4.497287134;315;8.1;5.894857098999999;8.42202;5.845584998;9.137839999999999;16.3150993;13.16896606
