ExcelDato;/SKOM-SfjHydVindhMid-T0016A3 -0120;/STORM-Bess-Vindhast-25km;/STORM-Vals-Vindhast-25km
41456.0000;3.5500;2.7000;4.1000
41456.0417;3.9700;2.8000;3.1000
41456.0833;2.7800;2.8000;2.1000
41456.1250;3.6800;3.0000;2.5000
41456.1667;3.3900;3.3000;2.9000
41456.2083;4.2800;3.5000;3.3000
41456.2500;5.7700;3.8000;3.6000
41456.2917;5.7600;4.1000;4.0000
41456.3333;7.3700;3.3000;4.0000
41456.3750;6.3800;3.3000;3.8000
41456.4167;4.0900;3.4000;3.5000
41456.4583;5.4300;3.4000;3.3000
41456.5000;6.9100;2.9000;3.0000
41456.5417;6.5300;2.3000;2.8000
41456.5833;3.0600;1.8000;2.5000
41456.6250;3.1300;1.6000;3.2000
41456.6667;3.3500;1.4000;3.9000
41456.7083;4.1900;1.2000;4.6000
41456.7500;5.2300;2.3000;5.3000
41456.7917;4.4600;3.4000;5.9000
41456.8333;5.6500;2.1000;8.0000
41456.8750;6.0400;2.9000;7.6000
41456.9167;8.1300;3.8000;7.3000
41456.9583;7.4800;4.6000;6.9000
41457.0000;7.1000;4.5000;6.5000
41457.0417;6.4100;4.5000;6.1000
41457.0833;5.5200;4.4000;5.7000
41457.1250;4.9100;4.1000;5.4000
41457.1667;4.2400;3.8000;5.1000
41457.2083;4.1800;3.5000;4.8000
41457.2500;3.7700;3.5000;4.8000
41457.2917;4.0000;3.6000;4.7000
41457.3333;4.4300;3.1000;3.7000
41457.3750;4.1100;3.2000;3.6000
41457.4167;4.3300;3.2000;3.6000
41457.4583;4.1300;3.3000;3.5000
41457.5000;4.2700;3.3000;3.5000
41457.5417;4.0400;3.4000;3.4000
41457.5833;4.0500;3.4000;3.4000
41457.6250;4.2400;3.1000;3.3000
41457.6667;2.9100;2.9000;3.1000
41457.7083;2.9400;2.6000;3.0000
41457.7500;3.0000;2.5000;2.9000
41457.7917;2.4900;2.3000;2.8000
41457.8333;3.0400;1.4000;2.8000
41457.8750;2.4300;1.6000;3.0000
41457.9167;2.7200;1.8000;3.3000
41457.9583;3.8800;2.0000;3.5000
41458.0000;5.2500;2.2000;3.6000
41458.0417;5.2000;2.3000;3.6000
41458.0833;5.3200;2.5000;3.7000
41458.1250;6.8200;2.4000;3.8000
41458.1667;7.4200;2.4000;4.0000
41458.2083;7.1000;2.3000;4.1000
41458.2500;6.4200;2.5000;3.7000
41458.2917;7.2100;2.6000;3.3000
41458.3333;6.3000;2.7000;3.7000
