VALS-Valsneset..-GS1-5-T4015A3 -0104;STORM-Vals-Vindhast-25km;STORM-Vals-Vindretn-25km;Target
5.169568777;7.9;318;5.488139867999999
5.588029861;7.8;317;5.295361519
5.488139867999999;7.8;316;4.938805819
5.295361519;7.7;319;3.9245347980000003
4.938805819;7.7;321;3.1304939989999996
3.9245347980000003;7.2;329;2.3721458909999997
3.1304939989999996;7.1;324;2.664442897
2.3721458909999997;6.9;320;3.897702813
2.664442897;6.8;315;3.709572792
3.897702813;7.0;316;3.032401919
3.709572792;7.3;317;2.078298882
3.032401919;7.5;318;3.75796783
2.078298882;7.5;315;4.064702748999999
3.75796783;7.5;312;5.035472393
4.064702748999999;7.5;309;3.5416430230000002
5.035472393;7.5;308;4.200596929
3.5416430230000002;7.6;307;3.49113977
4.200596929;6.9;316;3.2209039930000003
3.49113977;6.6;314;2.4921758769999998
3.2209039930000003;6.4;313;2.378775895
2.4921758769999998;6.1;311;2.302432954
2.378775895;6.2;310;1.6118169430000002
2.302432954;6.2;310;2.999620855
1.6118169430000002;6.3;309;2.266119897
2.999620855;6.0;311;1.757621974
2.266119897;5.8;312;2.662893891
1.757621974;5.5;314;2.9168338780000003
2.662893891;5.5;311;2.225903928
2.9168338780000003;5.4;308;2.11213392
2.225903928;5.3;310;1.912104905
2.11213392;5.6;307;1.592914969
1.912104905;5.9;303;2.758196771
1.592914969;6.2;300;0.791312978
2.758196771;6.1;302;0.999645978
0.791312978;5.9;303;0.744777977
0.999645978;5.8;305;1.563109934
0.744777977;5.6;306;1.399268001
1.563109934;5.4;306;0.8554489759999999
1.399268001;5.2;307;0.7773719729999999
0.8554489759999999;4.7;305;0.191723991
0.7773719729999999;4.1;303;0.18998999100000002
0.191723991;3.2;299;0.8402679259999999
0.18998999100000002;2.7;287;0.891574979
0.8402679259999999;2.3;276;0.24960198600000003
0.891574979;1.8;264;0.22679798699999998
0.24960198600000003;2.0;252;0.0
0.22679798699999998;2.3;241;0.0
0.0;2.5;229;0.0
0.0;2.7;208;0.036373997000000005
0.0;3.0;187;0.054777998
0.036373997000000005;3.2;166;0.18187199199999998
0.054777998;3.1;163;0.45694299
0.18187199199999998;3.0;161;0.878066957
0.45694299;3.7;165;0.463632971
0.878066957;3.5;176;0.155040996
0.463632971;3.2;187;0.39943698
0.155040996;3.0;198;0.775326967
0.39943698;2.3;215;0.151198994
0.775326967;1.7;233;0.100385994
0.151198994;1.0;250;0.100385994
0.100385994;1.9;282;0.100385994
0.100385994;2.9;313;0.100385994
0.100385994;3.8;345;0.592712
0.100385994;3.7;357;1.093463004
0.592712;3.6;8;0.971761972
1.093463004;5.0;8;0.45799697899999997
0.971761972;4.4;46;0.267695978
0.45799697899999997;3.7;84;0.267695978
0.267695978;3.1;122;0.267695978
0.267695978;3.7;133;3.311621845
0.267695978;4.3;143;5.915213466
3.311621845;4.9;154;1.670744896
5.915213466;5.4;151;2.157307863
1.670744896;5.8;147;4.045617818999999
2.157307863;6.3;144;2.43163389
4.045617818999999;6.4;176;5.044457793
2.43163389;6.4;208;1.7694578769999998
5.044457793;6.9;231;2.9049967530000003
