STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;YVIK-YtreVikna1-Sum-produksjon
3.7;260;1.806583328
3.6;260;1.804099991
3.6;268;1.9929833069999998
3.7;276;2.2444832690000003
3.7;284;6.783783173
4.0;296;6.779332916
4.4;308;4.804399811000001
4.2;299;3.968549866
4.6;292;5.615916412000001
5.0;285;5.090149811
5.4;278;5.133266312
5.6;279;8.514532959
5.8;279;8.681266418
6.0;280;11.02903296
5.8;280;9.479049622
5.7;280;9.563349854
5.5;280;7.56059964
4.9;268;5.465216415
4.4;256;4.852533081
5.1;251;3.179483292
5.2;249;2.582
5.4;247;2.351666664
5.5;245;2.913116562
5.7;240;3.818549927
5.9;236;3.492616562
6.1;231;4.069766525
6.6;229;4.297899857
7.0;226;5.325749763
7.5;224;10.03964954
7.3;221;8.82236615
7.0;218;13.77661591
7.4;221;6.736199585
7.4;223;8.163999573
7.5;224;12.72191602
7.5;226;10.950966000000001
7.1;227;11.25808276
6.8;227;11.79983282
6.4;228;8.112733032000001
6.2;226;8.964582886
5.9;223;8.178182922000001
5.7;221;6.838866516
5.1;215;4.8075830989999995
4.6;209;2.974149933
4.1;201;2.764699982
3.9;196;2.808266632
3.8;191;2.9731333010000003
3.6;186;2.9895832980000003
3.6;180;2.8689832760000002
3.5;174;2.898749969
3.5;168;2.738999985
3.3;157;2.553
3.2;147;2.406699993
3.0;136;2.220399994
3.1;137;2.3365
3.3;137;2.471
4.1;143;3.102199997
4.0;147;3.384833252
4.0;152;4.869016418
3.9;156;5.591683075
3.6;149;6.589616455
3.4;142;5.5550497739999996
3.1;135;3.5132499389999996
3.3;134;2.999066605
3.4;134;4.007749908
3.6;133;3.021233231
3.7;130;2.689233261
3.8;128;4.152499756
4.4;112;8.440299408
5.1;120;14.04826605
5.7;127;14.29596625
6.4;135;15.26434918
6.4;136;14.98608258
6.4;136;17.02428229
6.4;137;15.38156555
6.6;136;11.67889972
6.7;134;12.7946496
6.9;133;14.6878161
7.2;133;19.7493324
7.6;133;29.58398218
8.1;133;24.63846631
8.0;134;27.07631543
7.9;134;27.10426563
7.8;135;24.88944873
8.0;136;26.82276599
8.1;137;35.02943164
8.3;138;31.41671558
8.6;138;30.94871582
8.8;139;36.72748169
9.1;139;36.00846484
9.0;139;32.98778149
8.9;138;29.96979932
7.9;136;32.00181543
8.5;137;33.65224902
9.1;138;37.42486426
9.7;139;37.79379834
9.2;137;36.3485144
8.6;134;35.87614819
8.1;132;33.86804858
8.5;135;33.04873169
9.0;137;34.83013159
9.4;140;36.93339868
9.5;139;38.05586475
9.7;139;38.08253174
9.5;137;37.93704834
10.0;136;36.99741431
10.4;135;36.99181445
10.9;134;36.80668188
10.9;136;37.43473193
11.0;138;37.34639819
11.0;140;37.79938086
10.7;139;37.49386475
10.4;138;36.90024805
10.1;137;36.806197999999995
10.1;138;36.478064700000004
10.2;139;37.46916553
9.7;141;37.49361426
10.0;140;37.10074779999999
10.4;138;36.21718115
10.7;137;36.32453125
10.7;136;37.29896436
10.7;134;36.97764868
10.7;133;35.64203125
10.6;134;37.19376563
10.5;135;37.33543115
10.4;136;37.74079834
10.1;137;37.38929907
9.9;137;37.20954688
10.1;138;36.95666455
9.7;139;36.3202981
9.4;140;37.19818164
9.0;141;37.32043018
9.1;143;36.22381519
9.3;146;35.35441504
9.4;148;35.66434741
8.7;149;30.816
8.1;149;20.16
7.4;150;19.40669934
7.2;150;13.95949915
7.0;149;10.86003284
6.4;144;14.573216
6.6;144;13.08959949
6.7;143;11.19086609
6.9;143;13.42099963
6.8;144;18.77903271
6.6;145;17.34056604
6.5;146;14.74491602
6.4;144;17.00784937
6.3;142;23.50284888
6.2;140;19.67269922
6.3;140;14.679832399999999
6.4;139;14.36496619
6.7;137;14.09547382
6.7;137;16.17958527
6.6;138;12.24863275
6.6;138;17.60666602
6.2;140;16.89276599
5.7;142;19.55721533
5.3;144;15.95973242
5.1;137;14.82758276
5.0;131;10.07299963
4.8;124;8.588516235
5.1;124;6.039316437
5.3;123;7.715916228999999
5.4;108;10.93851624
5.3;108;14.44451569
5.2;108;15.41249915
5.1;108;10.05909961
5.4;109;9.089366058
5.6;111;10.97781598
5.9;112;8.070449554
6.0;108;16.5194989
6.0;105;14.66024951
6.1;101;9.892332763999999
6.3;102;15.67954919
6.5;103;17.10738281
6.8;100;17.24523267
6.8;101;17.15378223
6.9;102;19.62963245
6.9;103;23.17146545
7.2;105;25.76313232
7.6;106;20.70038245
7.9;108;21.85339856
7.7;104;24.47563196
7.4;101;23.82548254
7.2;97;21.81186597
7.3;95;20.19319897
7.3;94;25.44888196
7.1;91;29.86903162
6.9;91;26.95658228
6.8;91;25.54041614
6.6;91;11.24338287
6.5;89;13.20179938
6.4;88;18.22671558
6.3;86;11.04893274
6.1;87;14.64913287
5.9;87;16.48899884
5.7;88;12.42876624
5.7;80;6.869966338999999
5.6;71;10.43551624
5.7;67;10.41313284
6.3;78;9.686949402
6.9;90;17.21353241
7.5;101;21.52249878
7.6;104;21.10103259
7.7;108;22.66588245
7.8;111;23.73124854
7.8;120;25.36751575
7.8;130;28.98489917
7.8;139;26.87606567
7.4;132;30.35706494
7.0;126;27.76741565
7.4;131;25.59816614
7.3;128;22.09023267
7.1;125;30.09934888
7.0;122;34.56348218
7.4;124;34.06106445
7.7;126;31.88058203
8.1;128;29.03421606
7.6;127;18.81026575
7.1;127;28.17748254
6.6;126;29.12596484
6.3;125;15.68049927
6.1;125;8.945199829
5.2;116;11.10398303
4.6;111;5.734016479
4.0;106;8.217033142
3.4;101;6.481716492
3.0;98;4.2478498689999995
2.6;96;3.2314665369999998
2.2;93;2.5238666530000002
1.8;102;2.2430000000000003
1.4;112;2.375
1.0;121;2.375
1.5;162;2.375
2.0;203;2.40025
2.5;229;2.456300003
2.6;230;2.300633316
2.7;231;2.416800003
2.8;232;2.552366669
2.7;215;2.583983322
2.5;199;2.630099991
2.4;182;2.61431665
2.8;167;2.437233337
3.1;152;2.406599945
3.5;137;3.818983246
4.0;133;5.162833206
4.4;129;7.228949828999999
4.9;125;7.926899627999999
5.3;123;8.39896637
5.8;122;8.806249572999999
6.2;120;11.14613281
