STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
3.7;260;;1.806583328
3.6;260;;1.804099991
3.6;268;1.806583328;1.9929833069999998
3.7;276;1.804099991;2.2444832690000003
3.7;284;1.9929833069999998;6.783783173
4.0;296;2.2444832690000003;6.779332916
4.4;308;6.783783173;4.804399811000001
4.2;299;6.779332916;3.968549866
4.6;292;4.804399811000001;5.615916412000001
5.0;285;3.968549866;5.090149811
5.4;278;5.615916412000001;5.133266312
5.6;279;5.090149811;8.514532959
5.8;279;5.133266312;8.681266418
6.0;280;8.514532959;11.02903296
5.8;280;8.681266418;9.479049622
5.7;280;11.02903296;9.563349854
5.5;280;9.479049622;7.56059964
4.9;268;9.563349854;5.465216415
4.4;256;7.56059964;4.852533081
5.1;251;5.465216415;3.179483292
5.2;249;4.852533081;2.582
5.4;247;3.179483292;2.351666664
5.5;245;2.582;2.913116562
5.7;240;2.351666664;3.818549927
5.9;236;2.913116562;3.492616562
6.1;231;3.818549927;4.069766525
6.6;229;3.492616562;4.297899857
7.0;226;4.069766525;5.325749763
7.5;224;4.297899857;10.03964954
7.3;221;5.325749763;8.82236615
7.0;218;10.03964954;13.77661591
7.4;221;8.82236615;6.736199585
7.4;223;13.77661591;8.163999573
7.5;224;6.736199585;12.72191602
7.5;226;8.163999573;10.950966000000001
7.1;227;12.72191602;11.25808276
6.8;227;10.950966000000001;11.79983282
6.4;228;11.25808276;8.112733032000001
6.2;226;11.79983282;8.964582886
5.9;223;8.112733032000001;8.178182922000001
5.7;221;8.964582886;6.838866516
5.1;215;8.178182922000001;4.8075830989999995
4.6;209;6.838866516;2.974149933
4.1;201;4.8075830989999995;2.764699982
3.9;196;2.974149933;2.808266632
3.8;191;2.764699982;2.9731333010000003
3.6;186;2.808266632;2.9895832980000003
3.6;180;2.9731333010000003;2.8689832760000002
3.5;174;2.9895832980000003;2.898749969
3.5;168;2.8689832760000002;2.738999985
3.3;157;2.898749969;2.553
3.2;147;2.738999985;2.406699993
3.0;136;2.553;2.220399994
3.1;137;2.406699993;2.3365
3.3;137;2.220399994;2.471
4.1;143;2.3365;3.102199997
4.0;147;2.471;3.384833252
4.0;152;3.102199997;4.869016418
3.9;156;3.384833252;5.591683075
3.6;149;4.869016418;6.589616455
3.4;142;5.591683075;5.5550497739999996
3.1;135;6.589616455;3.5132499389999996
3.3;134;5.5550497739999996;2.999066605
3.4;134;3.5132499389999996;4.007749908
3.6;133;2.999066605;3.021233231
3.7;130;4.007749908;2.689233261
3.8;128;3.021233231;4.152499756
4.4;112;2.689233261;8.440299408
5.1;120;4.152499756;14.04826605
5.7;127;8.440299408;14.29596625
6.4;135;14.04826605;15.26434918
6.4;136;14.29596625;14.98608258
6.4;136;15.26434918;17.02428229
6.4;137;14.98608258;15.38156555
6.6;136;17.02428229;11.67889972
6.7;134;15.38156555;12.7946496
6.9;133;11.67889972;14.6878161
7.2;133;12.7946496;19.7493324
7.6;133;14.6878161;29.58398218
8.1;133;19.7493324;24.63846631
8.0;134;29.58398218;27.07631543
7.9;134;24.63846631;27.10426563
7.8;135;27.07631543;24.88944873
8.0;136;27.10426563;26.82276599
8.1;137;24.88944873;35.02943164
8.3;138;26.82276599;31.41671558
8.6;138;35.02943164;30.94871582
8.8;139;31.41671558;36.72748169
9.1;139;30.94871582;36.00846484
9.0;139;36.72748169;32.98778149
8.9;138;36.00846484;29.96979932
7.9;136;32.98778149;32.00181543
8.5;137;29.96979932;33.65224902
9.1;138;32.00181543;37.42486426
9.7;139;33.65224902;37.79379834
9.2;137;37.42486426;36.3485144
8.6;134;37.79379834;35.87614819
8.1;132;36.3485144;33.86804858
8.5;135;35.87614819;33.04873169
9.0;137;33.86804858;34.83013159
9.4;140;33.04873169;36.93339868
9.5;139;34.83013159;38.05586475
9.7;139;36.93339868;38.08253174
9.5;137;38.05586475;37.93704834
10.0;136;38.08253174;36.99741431
10.4;135;37.93704834;36.99181445
10.9;134;36.99741431;36.80668188
10.9;136;36.99181445;37.43473193
11.0;138;36.80668188;37.34639819
11.0;140;37.43473193;37.79938086
10.7;139;37.34639819;37.49386475
10.4;138;37.79938086;36.90024805
10.1;137;37.49386475;36.806197999999995
10.1;138;36.90024805;36.478064700000004
10.2;139;36.806197999999995;37.46916553
9.7;141;36.478064700000004;37.49361426
10.0;140;37.46916553;37.10074779999999
10.4;138;37.49361426;36.21718115
10.7;137;37.10074779999999;36.32453125
10.7;136;36.21718115;37.29896436
10.7;134;36.32453125;36.97764868
10.7;133;37.29896436;35.64203125
10.6;134;36.97764868;37.19376563
10.5;135;35.64203125;37.33543115
10.4;136;37.19376563;37.74079834
10.1;137;37.33543115;37.38929907
9.9;137;37.74079834;37.20954688
10.1;138;37.38929907;36.95666455
9.7;139;37.20954688;36.3202981
9.4;140;36.95666455;37.19818164
9.0;141;36.3202981;37.32043018
9.1;143;37.19818164;36.22381519
9.3;146;37.32043018;35.35441504
9.4;148;36.22381519;35.66434741
8.7;149;35.35441504;30.816
8.1;149;35.66434741;20.16
7.4;150;30.816;19.40669934
7.2;150;20.16;13.95949915
7.0;149;19.40669934;10.86003284
6.4;144;13.95949915;14.573216
6.6;144;10.86003284;13.08959949
6.7;143;14.573216;11.19086609
6.9;143;13.08959949;13.42099963
6.8;144;11.19086609;18.77903271
6.6;145;13.42099963;17.34056604
6.5;146;18.77903271;14.74491602
6.4;144;17.34056604;17.00784937
6.3;142;14.74491602;23.50284888
6.2;140;17.00784937;19.67269922
6.3;140;23.50284888;14.679832399999999
6.4;139;19.67269922;14.36496619
6.7;137;14.679832399999999;14.09547382
6.7;137;14.36496619;16.17958527
6.6;138;14.09547382;12.24863275
6.6;138;16.17958527;17.60666602
6.2;140;12.24863275;16.89276599
5.7;142;17.60666602;19.55721533
5.3;144;16.89276599;15.95973242
5.1;137;19.55721533;14.82758276
5.0;131;15.95973242;10.07299963
4.8;124;14.82758276;8.588516235
5.1;124;10.07299963;6.039316437
5.3;123;8.588516235;7.715916228999999
5.4;108;6.039316437;10.93851624
5.3;108;7.715916228999999;14.44451569
