STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
3.7;260;17;;1.806583328
3.6;260;17;;1.804099991
3.6;268;17;1.806583328;1.9929833069999998
3.7;276;17;1.804099991;2.2444832690000003
3.7;284;17;1.9929833069999998;6.783783173
4.0;296;17;2.2444832690000003;6.779332916
4.4;308;17;6.783783173;4.804399811000001
4.2;299;17;6.779332916;3.968549866
4.6;292;16;4.804399811000001;5.615916412000001
5.0;285;16;3.968549866;5.090149811
5.4;278;16;5.615916412000001;5.133266312
5.6;279;16;5.090149811;8.514532959
5.8;279;16;5.133266312;8.681266418
6.0;280;16;8.514532959;11.02903296
5.8;280;17;8.681266418;9.479049622
5.7;280;17;11.02903296;9.563349854
5.5;280;17;9.479049622;7.56059964
4.9;268;17;9.563349854;5.465216415
4.4;256;17;7.56059964;4.852533081
5.1;251;17;5.465216415;3.179483292
5.2;249;17;4.852533081;2.582
5.4;247;17;3.179483292;2.351666664
5.5;245;17;2.582;2.913116562
5.7;240;17;2.351666664;3.818549927
5.9;236;17;2.913116562;3.492616562
6.1;231;17;3.818549927;4.069766525
6.6;229;17;3.492616562;4.297899857
7.0;226;17;4.069766525;5.325749763
7.5;224;17;4.297899857;10.03964954
7.3;221;17;5.325749763;8.82236615
7.0;218;17;10.03964954;13.77661591
7.4;221;17;8.82236615;6.736199585
7.4;223;17;13.77661591;8.163999573
7.5;224;17;6.736199585;12.72191602
7.5;226;17;8.163999573;10.950966000000001
7.1;227;17;12.72191602;11.25808276
6.8;227;17;10.950966000000001;11.79983282
6.4;228;17;11.25808276;8.112733032000001
6.2;226;17;11.79983282;8.964582886
5.9;223;17;8.112733032000001;8.178182922000001
5.7;221;17;8.964582886;6.838866516
5.1;215;17;8.178182922000001;4.8075830989999995
4.6;209;17;6.838866516;2.974149933
4.1;201;17;4.8075830989999995;2.764699982
3.9;196;17;2.974149933;2.808266632
3.8;191;17;2.764699982;2.9731333010000003
3.6;186;17;2.808266632;2.9895832980000003
3.6;180;17;2.9731333010000003;2.8689832760000002
3.5;174;17;2.9895832980000003;2.898749969
3.5;168;17;2.8689832760000002;2.738999985
3.3;157;17;2.898749969;2.553
3.2;147;17;2.738999985;2.406699993
3.0;136;17;2.553;2.220399994
3.1;137;17;2.406699993;2.3365
3.3;137;17;2.220399994;2.471
4.1;143;17;2.3365;3.102199997
4.0;147;17;2.471;3.384833252
4.0;152;17;3.102199997;4.869016418
3.9;156;17;3.384833252;5.591683075
3.6;149;17;4.869016418;6.589616455
3.4;142;17;5.591683075;5.5550497739999996
3.1;135;17;6.589616455;3.5132499389999996
3.3;134;17;5.5550497739999996;2.999066605
3.4;134;17;3.5132499389999996;4.007749908
3.6;133;17;2.999066605;3.021233231
3.7;130;17;4.007749908;2.689233261
3.8;128;17;3.021233231;4.152499756
4.4;112;17;2.689233261;8.440299408
5.1;120;17;4.152499756;14.04826605
5.7;127;17;8.440299408;14.29596625
6.4;135;17;14.04826605;15.26434918
6.4;136;17;14.29596625;14.98608258
6.4;136;17;15.26434918;17.02428229
6.4;137;17;14.98608258;15.38156555
6.6;136;17;17.02428229;11.67889972
6.7;134;17;15.38156555;12.7946496
6.9;133;17;11.67889972;14.6878161
7.2;133;17;12.7946496;19.7493324
7.6;133;17;14.6878161;29.58398218
8.1;133;17;19.7493324;24.63846631
8.0;134;16;29.58398218;27.07631543
7.9;134;16;24.63846631;27.10426563
7.8;135;16;27.07631543;24.88944873
8.0;136;16;27.10426563;26.82276599
8.1;137;16;24.88944873;35.02943164
8.3;138;16;26.82276599;31.41671558
8.6;138;17;35.02943164;30.94871582
8.8;139;17;31.41671558;36.72748169
9.1;139;17;30.94871582;36.00846484
9.0;139;17;36.72748169;32.98778149
8.9;138;17;36.00846484;29.96979932
7.9;136;17;32.98778149;32.00181543
8.5;137;17;29.96979932;33.65224902
9.1;138;17;32.00181543;37.42486426
9.7;139;17;33.65224902;37.79379834
9.2;137;17;37.42486426;36.3485144
8.6;134;17;37.79379834;35.87614819
8.1;132;17;36.3485144;33.86804858
8.5;135;17;35.87614819;33.04873169
9.0;137;17;33.86804858;34.83013159
9.4;140;17;33.04873169;36.93339868
9.5;139;17;34.83013159;38.05586475
9.7;139;17;36.93339868;38.08253174
9.5;137;17;38.05586475;37.93704834
10.0;136;16;38.08253174;36.99741431
10.4;135;16;37.93704834;36.99181445
10.9;134;16;36.99741431;36.80668188
10.9;136;16;36.99181445;37.43473193
11.0;138;16;36.80668188;37.34639819
11.0;140;16;37.43473193;37.79938086
10.7;139;17;37.34639819;37.49386475
10.4;138;17;37.79938086;36.90024805
10.1;137;17;37.49386475;36.806197999999995
10.1;138;17;36.90024805;36.478064700000004
10.2;139;17;36.806197999999995;37.46916553
9.7;141;17;36.478064700000004;37.49361426
10.0;140;17;37.46916553;37.10074779999999
10.4;138;17;37.49361426;36.21718115
10.7;137;17;37.10074779999999;36.32453125
10.7;136;17;36.21718115;37.29896436
10.7;134;17;36.32453125;36.97764868
10.7;133;17;37.29896436;35.64203125
10.6;134;17;36.97764868;37.19376563
10.5;135;17;35.64203125;37.33543115
10.4;136;17;37.19376563;37.74079834
10.1;137;17;37.33543115;37.38929907
9.9;137;17;37.74079834;37.20954688
10.1;138;17;37.38929907;36.95666455
9.7;139;16;37.20954688;36.3202981
9.4;140;16;36.95666455;37.19818164
9.0;141;16;36.3202981;37.32043018
9.1;143;16;37.19818164;36.22381519
9.3;146;16;37.32043018;35.35441504
9.4;148;16;36.22381519;35.66434741
8.7;149;17;35.35441504;30.816
8.1;149;17;35.66434741;20.16
7.4;150;17;30.816;19.40669934
7.2;150;17;20.16;13.95949915
7.0;149;17;19.40669934;10.86003284
6.4;144;17;13.95949915;14.573216
6.6;144;17;10.86003284;13.08959949
6.7;143;17;14.573216;11.19086609
6.9;143;17;13.08959949;13.42099963
6.8;144;17;11.19086609;18.77903271
6.6;145;17;13.42099963;17.34056604
6.5;146;17;18.77903271;14.74491602
6.4;144;17;17.34056604;17.00784937
6.3;142;17;14.74491602;23.50284888
6.2;140;17;17.00784937;19.67269922
6.3;140;17;23.50284888;14.679832399999999
6.4;139;17;19.67269922;14.36496619
6.7;137;17;14.679832399999999;14.09547382
6.7;137;16;14.36496619;16.17958527
6.6;138;16;14.09547382;12.24863275
6.6;138;16;16.17958527;17.60666602
6.2;140;16;12.24863275;16.89276599
5.7;142;16;17.60666602;19.55721533
5.3;144;16;16.89276599;15.95973242
5.1;137;17;19.55721533;14.82758276
5.0;131;17;15.95973242;10.07299963
4.8;124;17;14.82758276;8.588516235
5.1;124;17;10.07299963;6.039316437
5.3;123;17;8.588516235;7.715916228999999
5.4;108;17;6.039316437;10.93851624
5.3;108;17;7.715916228999999;14.44451569
5.2;108;17;10.93851624;15.41249915
5.1;108;17;14.44451569;10.05909961
5.4;109;17;15.41249915;9.089366058
5.6;111;17;10.05909961;10.97781598
5.9;112;17;9.089366058;8.070449554
6.0;108;17;10.97781598;16.5194989
6.0;105;17;8.070449554;14.66024951
6.1;101;17;16.5194989;9.892332763999999
6.3;102;17;14.66024951;15.67954919
6.5;103;17;9.892332763999999;17.10738281
6.8;100;17;15.67954919;17.24523267
6.8;101;16;17.10738281;17.15378223
6.9;102;16;17.24523267;19.62963245
6.9;103;16;17.15378223;23.17146545
7.2;105;16;19.62963245;25.76313232
7.6;106;16;23.17146545;20.70038245
7.9;108;16;25.76313232;21.85339856
7.7;104;17;20.70038245;24.47563196
7.4;101;17;21.85339856;23.82548254
7.2;97;17;24.47563196;21.81186597
7.3;95;17;23.82548254;20.19319897
7.3;94;17;21.81186597;25.44888196
7.1;91;17;20.19319897;29.86903162
6.9;91;17;25.44888196;26.95658228
6.8;91;17;29.86903162;25.54041614
6.6;91;17;26.95658228;11.24338287
6.5;89;17;25.54041614;13.20179938
6.4;88;17;11.24338287;18.22671558
6.3;86;17;13.20179938;11.04893274
6.1;87;17;18.22671558;14.64913287
5.9;87;17;11.04893274;16.48899884
5.7;88;17;14.64913287;12.42876624
5.7;80;17;16.48899884;6.869966338999999
5.6;71;17;12.42876624;10.43551624
5.7;67;17;6.869966338999999;10.41313284
6.3;78;17;10.43551624;9.686949402
6.9;90;17;10.41313284;17.21353241
7.5;101;17;9.686949402;21.52249878
7.6;104;17;17.21353241;21.10103259
7.7;108;17;21.52249878;22.66588245
7.8;111;17;21.10103259;23.73124854
7.8;120;17;22.66588245;25.36751575
7.8;130;17;23.73124854;28.98489917
7.8;139;17;25.36751575;26.87606567
7.4;132;17;28.98489917;30.35706494
7.0;126;17;26.87606567;27.76741565
7.4;131;17;30.35706494;25.59816614
7.3;128;17;27.76741565;22.09023267
7.1;125;17;25.59816614;30.09934888
7.0;122;17;22.09023267;34.56348218
7.4;124;17;30.09934888;34.06106445
7.7;126;17;34.56348218;31.88058203
8.1;128;17;34.06106445;29.03421606
7.6;127;17;31.88058203;18.81026575
7.1;127;17;29.03421606;28.17748254
6.6;126;17;18.81026575;29.12596484
6.3;125;17;28.17748254;15.68049927
6.1;125;17;29.12596484;8.945199829
5.2;116;17;15.68049927;11.10398303
4.6;111;17;8.945199829;5.734016479
4.0;106;17;11.10398303;8.217033142
3.4;101;17;5.734016479;6.481716492
3.0;98;17;8.217033142;4.2478498689999995
2.6;96;17;6.481716492;3.2314665369999998
2.2;93;17;4.2478498689999995;2.5238666530000002
1.8;102;17;3.2314665369999998;2.2430000000000003
1.4;112;17;2.5238666530000002;2.375
1.0;121;17;2.2430000000000003;2.375
1.5;162;17;2.375;2.375
2.0;203;17;2.375;2.40025
2.5;229;17;2.375;2.456300003
2.6;230;17;2.40025;2.300633316
2.7;231;17;2.456300003;2.416800003
2.8;232;17;2.300633316;2.552366669
2.7;215;17;2.416800003;2.583983322
2.5;199;17;2.552366669;2.630099991
2.4;182;17;2.583983322;2.61431665
2.8;167;17;2.630099991;2.437233337
3.1;152;17;2.61431665;2.406599945
3.5;137;17;2.437233337;3.818983246
4.0;133;17;2.406599945;5.162833206
4.4;129;17;3.818983246;7.228949828999999
4.9;125;17;5.162833206;7.926899627999999
5.3;123;16;7.228949828999999;8.39896637
5.8;122;16;7.926899627999999;8.806249572999999
6.2;120;16;8.39896637;11.14613281
6.6;120;16;8.806249572999999;16.55426538
7.0;119;16;11.14613281;11.88638281
7.4;119;16;16.55426538;17.50526587
7.1;117;17;11.88638281;19.11409937
6.8;114;17;17.50526587;20.8375824
6.5;112;17;19.11409937;25.67091589
7.0;121;17;20.8375824;27.50723206
7.5;130;17;25.67091589;29.49358179
7.8;131;17;27.50723206;29.40924902
7.7;129;17;29.49358179;31.54168164
7.6;128;17;29.40924902;29.66198267
7.5;126;17;31.54168164;20.35068262
7.4;129;17;29.66198267;23.51438232
7.2;133;17;20.35068262;26.25539905
7.1;136;17;23.51438232;27.25928284
6.9;137;17;26.25539905;23.3967323
6.8;137;17;27.25928284;25.09848218
6.6;138;17;23.3967323;22.06159924
6.5;140;17;25.09848218;22.76018237
6.5;142;17;22.06159924;27.0187489
7.0;146;17;22.76018237;21.7080658
6.6;144;16;27.0187489;18.39269861
6.2;142;16;21.7080658;15.03386621
5.8;140;16;18.39269861;16.11538245
5.5;139;16;15.03386621;10.60146631
5.1;139;16;16.11538245;7.769816284
4.8;138;16;10.60146631;11.22106635
4.9;137;17;7.769816284;14.94178284
4.9;135;17;11.22106635;8.482166504
5.0;134;17;14.94178284;10.81788293
5.1;130;17;8.482166504;8.982032837
5.3;127;17;10.81788293;11.14088293
4.7;117;17;8.982032837;10.31116632
5.1;120;17;11.14088293;10.28891614
5.5;123;17;10.31116632;11.90238287
5.9;126;17;10.28891614;9.465449615
5.8;131;17;11.90238287;9.173499817
5.7;137;17;9.465449615;12.51284961
5.6;142;17;9.173499817;10.85984967
5.1;147;17;12.51284961;11.23994928
4.7;153;17;10.85984967;10.41798273
4.2;158;17;11.23994928;10.37689954
4.3;157;17;10.41798273;6.425433044
4.4;157;17;10.37689954;5.738466582999999
4.9;139;17;6.425433044;5.8419331670000005
4.6;148;16;5.738466582999999;3.949727127
4.3;158;16;5.8419331670000005;3.190049881
4.0;167;16;3.949727127;3.578933228
3.9;185;16;3.190049881;3.084099899
3.7;202;16;3.578933228;2.7097332610000002
3.6;220;16;3.084099899;2.57788327
4.0;230;17;2.7097332610000002;2.4644832919999997
4.3;240;17;2.57788327;2.322883301
4.7;250;17;2.4644832919999997;2.209249954
4.5;241;17;2.322883301;2.161716675
4.4;232;17;2.209249954;2.135
4.6;244;17;2.161716675;2.135
4.2;246;17;2.135;2.135
3.8;248;17;2.135;2.135
3.4;250;17;2.135;2.135
3.1;242;17;2.135;2.135
2.8;233;17;2.135;2.135
2.5;225;17;2.135;2.135
2.4;224;17;2.135;2.135
2.2;224;17;2.135;2.135
2.1;223;17;2.135;2.135
2.0;222;17;2.135;2.135
2.0;220;17;2.135;2.135
1.3;214;17;2.135;2.135
1.6;213;16;2.135;2.135
2.0;213;16;2.135;2.139283325
2.3;212;16;2.135;2.168
2.4;230;16;2.139283325;2.168
2.6;248;16;2.168;2.168
2.7;266;16;2.168;2.168
2.8;278;17;2.168;2.168
2.8;290;17;2.168;2.168
2.9;302;17;2.168;2.168
2.6;306;17;2.168;2.168
2.4;310;17;2.168;2.168
2.6;343;17;2.168;2.168
2.4;343;17;2.168;2.168
2.1;342;17;2.168;2.168
1.9;342;17;2.168;2.168
2.0;333;17;2.168;2.168
2.0;323;17;2.168;2.168
2.1;314;17;2.168;2.168
2.3;317;17;2.168;2.168
2.4;321;17;2.168;2.168
2.6;324;17;2.168;2.168
2.7;324;17;2.168;2.168
2.8;325;17;2.168;2.168
3.2;334;17;2.168;2.168
3.2;333;15;2.168;2.168
3.3;332;15;2.168;2.168
3.3;331;15;2.168;2.324716614
3.7;330;15;2.168;4.607349731
4.2;329;15;2.324716614;6.836932922000001
4.6;328;15;4.607349731;6.7048331910000005
5.0;331;17;6.836932922000001;7.457132812999999
5.5;334;17;6.7048331910000005;12.74656604
5.9;337;17;7.457132812999999;13.09416644
5.9;338;17;12.74656604;10.31011603
6.0;340;17;13.09416644;8.086499664
6.7;348;17;10.31011603;9.831566223
6.8;348;17;8.086499664;11.0540329
6.9;349;17;9.831566223;19.5855658
7.0;349;17;11.0540329;20.63503198
7.3;355;17;19.5855658;19.68601526
7.7;2;17;20.63503198;22.68174902
8.0;8;17;19.68601526;25.07671594
8.0;6;17;22.68174902;24.0594823
8.1;4;17;25.07671594;22.92679895
8.1;2;17;24.0594823;24.23303259
8.0;2;17;22.92679895;22.58158203
7.9;1;17;24.23303259;20.73711572
8.4;354;17;22.58158203;23.384282100000004
8.2;352;17;20.73711572;21.54413232
8.0;351;17;23.384282100000004;21.08448218
7.8;349;17;21.54413232;19.74973218
7.4;351;17;21.08448218;13.85651611
7.1;353;17;19.74973218;13.41229956
6.7;355;17;13.85651611;14.84291602
6.7;356;17;13.41229956;18.5751322
6.8;358;17;14.84291602;13.23761621
6.8;359;17;18.5751322;16.08136609
6.3;359;17;13.23761621;12.18809937
5.7;359;17;16.08136609;9.638949463
5.8;356;17;12.18809937;5.9479164120000005
5.3;352;17;9.638949463;5.119699738
4.7;347;17;5.9479164120000005;3.924816574
4.2;343;17;5.119699738;4.314033234
4.1;341;17;3.924816574;3.987033264
4.1;339;17;4.314033234;4.386699799
4.0;337;17;3.987033264;4.0422499080000005
3.9;339;17;4.386699799;3.7374333039999996
3.9;342;17;4.0422499080000005;2.9670999910000004
3.8;344;17;3.7374333039999996;2.884
3.2;334;17;2.9670999910000004;2.773
2.7;325;17;2.884;2.773
2.8;321;17;2.773;2.773
2.6;301;17;2.773;2.773
2.4;280;17;2.773;2.773
2.2;260;17;2.773;2.6210000000000004
2.7;258;17;2.773;2.545
3.2;255;17;2.6210000000000004;2.6888833310000004
3.7;253;17;2.545;2.7643499910000005
3.9;253;17;2.6888833310000004;2.680783279
4.0;252;17;2.7643499910000005;2.740816605
4.2;252;17;2.680783279;3.353866547
4.4;256;17;2.740816605;3.432549957
4.5;261;17;3.353866547;3.920099884
4.6;261;17;3.432549957;5.033133133
4.8;256;17;3.920099884;5.920449737999999
4.9;251;17;5.033133133;5.561283127
5.1;246;17;5.920449737999999;4.2860000000000005
4.3;265;17;5.561283127;4.2211832430000005
3.6;283;17;4.2860000000000005;4.197599838
2.8;302;17;4.2211832430000005;3.6441000060000004
2.8;287;17;4.197599838;3.26631662
2.9;273;17;3.6441000060000004;3.162599945
2.9;258;17;3.26631662;3.459216614
2.9;254;17;3.162599945;2.993516647
3.0;251;17;3.459216614;2.658933304
2.8;265;17;2.993516647;2.215216629
3.0;271;17;2.658933304;2.124333328
3.2;277;16;2.215216629;2.194716591
3.4;283;16;2.124333328;2.370899948
3.2;290;16;2.194716591;2.661266636
3.1;296;16;2.370899948;2.3686999319999997
2.9;303;16;2.661266636;2.7490498960000003
3.3;331;17;2.3686999319999997;2.610833267
3.7;0;17;2.7490498960000003;2.50548333
4.1;28;17;2.610833267;3.130916565
3.9;30;17;2.50548333;3.529333313
3.7;33;17;3.130916565;3.0750332489999996
2.6;35;17;3.529333313;2.486599991
2.4;39;17;3.0750332489999996;2.229466667
2.3;42;17;2.486599991;2.128266666
2.1;46;17;2.229466667;2.122
2.6;54;17;2.128266666;2.122
3.2;63;17;2.122;2.122
3.7;71;17;2.122;2.0289666669999997
3.6;86;17;2.122;1.993999969
3.6;101;17;2.0289666669999997;2.187783295
3.5;116;17;1.993999969;4.720866425
4.3;117;17;2.187783295;9.999516174
5.1;119;17;4.720866425;8.026783081
6.0;118;17;9.999516174;6.297116364
6.0;121;16;8.026783081;8.183383057
6.0;124;16;6.297116364;10.71584967
6.0;127;16;8.183383057;7.8371496579999995
5.3;118;16;10.71584967;6.859033081000001
4.5;109;16;7.8371496579999995;4.20969986
3.8;100;16;6.859033081000001;3.653749908
4.3;100;17;4.20969986;3.5855832519999997
4.9;101;17;3.653749908;4.65958313
5.4;101;17;3.5855832519999997;7.204599883999999
5.4;100;17;4.65958313;7.179416412
5.4;99;17;7.204599883999999;6.855449768
5.2;94;17;7.179416412;7.411233032
5.2;93;17;6.855449768;10.64699939
5.1;91;17;7.411233032;13.16916614
5.1;90;17;10.64699939;19.25031598
5.2;89;17;13.16916614;23.63698224
5.3;89;17;19.25031598;13.05274951
5.4;88;17;23.63698224;16.48414923
5.3;86;17;13.05274951;5.3119830630000004
5.2;83;17;16.48414923;10.32108261
5.1;81;17;5.3119830630000004;5.755516357
5.1;82;17;10.32108261;11.66089948
